case_id,date,country,region,attack_type,sector,description,legal_action,source,mitre_initial_access,mitre_execution,mitre_impact,confidentiality_impact,integrity_impact,availability_impact,severity_score,severity_level
CC014,2026-01-13,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Rockwell Automation 432ES-IG3 Series A,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration,1,1,1,5,Medium
CC015,2026-01-13,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Rockwell Automation FactoryTalk DataMosaix Private Cloud,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration,1,1,1,5,Medium
CC016,2026-01-12,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,CISA Adds One Known Exploited Vulnerability to Catalog,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration,1,1,1,5,Medium
CC017,2026-01-08,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Hitachi Energy Asset Suite,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration,1,1,1,5,Medium
CC018,2026-01-07,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,CISA Adds Two Known Exploited Vulnerabilities to Catalog,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration,1,1,1,5,Medium
CC019,2026-01-06,Unknown,Global,Unknown,Industrial / Critical Infrastructure,Columbia Weather Systems MicroServer,Under Investigation,CISA,Unknown,Unknown,Unknown,0,0,0,0,Low
CC020,2025-12-30,Unknown,Global,Phishing,Industrial / Critical Infrastructure,WHILL Model C2 Electric Wheelchairs and Model F Power Chairs,Under Investigation,CISA,Phishing,User Execution,Credential Access,1,0,0,3,Medium
CC021,2025-12-30,Unknown,Global,Unknown,Industrial / Critical Infrastructure,CISA Releases Two Industrial Control Systems Advisories,Under Investigation,CISA,Unknown,Unknown,Unknown,0,0,0,0,Low
CC022,2025-12-29,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,CISA Adds One Known Exploited Vulnerability to Catalog,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration,1,1,1,5,Medium
CC023,2025-12-23,Unknown,Global,Unknown,Industrial / Critical Infrastructure,CISA Releases One Industrial Control Systems Advisory,Under Investigation,CISA,Unknown,Unknown,Unknown,0,0,0,0,Low
CC024,2025-12-22,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,CISA Adds One Known Exploited Vulnerability to Catalog,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration,1,1,1,5,Medium
CC025,2025-12-22,Unknown,Global,Unknown,Industrial / Critical Infrastructure,NIST and CISA Release Draft Interagency Report on Protecting Tokens and Assertions from Tampering Theft and Misuse for Public Comment,Under Investigation,CISA,Unknown,Unknown,Unknown,0,0,0,0,Low
CC026,2025-12-19,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,CISA Adds One Known Exploited Vulnerability to Catalog,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration,1,1,1,5,Medium
CC027,2025-12-19,Unknown,Global,Malware,Industrial / Critical Infrastructure,CISA  and Partners Release Update to Malware Analysis Report BRICKSTORM Backdoor,Under Investigation,CISA,Drive-by Compromise,Malicious File,Command and Control,0,1,0,2,Low
CC028,2025-12-18,Unknown,Global,Phishing,Industrial / Critical Infrastructure,Inductive Automation Ignition,Under Investigation,CISA,Phishing,User Execution,Credential Access,1,0,0,3,Medium
CC029,2025-12-18,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Schneider Electric EcoStruxure Foxboro DCS Advisor,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration,1,1,1,5,Medium
CC030,2025-12-18,Unknown,Global,Unknown,Industrial / Critical Infrastructure,"Axis Communications Camera Station Pro, Camera Station, and Device Manager (Update A)",Under Investigation,CISA,Unknown,Unknown,Unknown,0,0,0,0,Low
